Año,Trimestre,Provincia,Accesos por cada 100 hab,Accesos por cada 100 hogares,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Periodo,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Mbps (Media de bajada),Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,Ingresos (miles de pesos),Accesos TV por suscripción,Accesos TV satelital, Periodo ,Ingresos TV por suscripción  (miles de $),Ingresos TV satelital (miles de $),Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares,Ingresos (miles de $),Correo oficial  + Correos Privados (en Pesos),Correo oficial + Correos Privados (en Unidades),Mes,Personal,Claro,Nextel,Movistar,Total general,Partido,Localidad,Población,Cablemódem,Dial Up,Satelital,Telefonía Fija,3G,4G,Link,Latitud,Longitud
2019.0,4,BUENOS AIRES,13.417453310810586,48.817166931715846,,41752.5,,,2047.0,114414.0,,107.0,2263.5,44254.0,12913.5,10082.0,1391.5,2418.5,107.0,8.885745768615465,36230.0,198451.0,3327425.0,984848.5,802908.0,422276.0,869153.5,18422550.17993102,7296185.0,2459872.0,Oct-Dic 2019,16345369.202484174,8543677.577544736,10.82503920829923,38.840268339845494,11174959.4835,91873778.76550001,1536959.0,6.0,40.0,72.0,91.5,41.0,139781.0,,,576.0,,,,,,,34035050.0,-32.28351144,-63.4506364545889
2019.0,3,BUENOS AIRES,13.417453310810586,48.817166931715846,,41752.5,,,2047.0,114414.0,,107.0,2263.5,44254.0,12913.5,10082.0,1391.5,2418.5,107.0,8.885745768615465,36230.0,198451.0,3327425.0,984848.5,802908.0,422276.0,869153.5,18422550.17993102,7156690.0,2460927.0,Jul-Sept 2019,16345369.202484174,8543677.577544736,10.82503920829923,38.840268339845494,11174959.4835,91873778.76550001,1536959.0,6.0,40.0,72.0,91.5,41.0,139781.0,,,576.0,,,,,,,34035050.0,-32.28351144,-63.4506364545889
2019.0,2,BUENOS AIRES,13.417453310810586,48.817166931715846,,41752.5,,,2047.0,114414.0,,107.0,2263.5,44254.0,12913.5,10082.0,1391.5,2418.5,107.0,8.885745768615465,36230.0,198451.0,3327425.0,984848.5,802908.0,422276.0,869153.5,18422550.17993102,7048709.0,2460177.0,Abr-Jun 2019,16345369.202484174,8543677.577544736,10.82503920829923,38.840268339845494,11174959.4835,91873778.76550001,1536959.0,6.0,40.0,72.0,91.5,41.0,139781.0,,,576.0,,,,,,,34035050.0,-32.28351144,-63.4506364545889
2019.0,1,BUENOS AIRES,13.417453310810586,48.817166931715846,,41752.5,,,2047.0,114414.0,,107.0,2263.5,44254.0,12913.5,10082.0,1391.5,2418.5,107.0,8.885745768615465,36230.0,198451.0,3327425.0,984848.5,802908.0,422276.0,869153.5,18422550.17993102,6971691.0,2473124.0,Ene-Mar 2019,16345369.202484174,8543677.577544736,10.82503920829923,38.840268339845494,11174959.4835,91873778.76550001,1536959.0,6.0,40.0,72.0,91.5,41.0,139781.0,,,576.0,,,,,,,34035050.0,-32.28351144,-63.4506364545889
2018.0,4,BUENOS AIRES,13.417453310810586,48.817166931715846,,41752.5,,,2047.0,114414.0,,107.0,2263.5,44254.0,12913.5,10082.0,1391.5,2418.5,107.0,8.885745768615465,36230.0,198451.0,3327425.0,984848.5,802908.0,422276.0,869153.5,18422550.17993102,6911972.0,2474558.0,Oct-Dic 2018,16345369.202484174,8543677.577544736,10.82503920829923,38.840268339845494,11174959.4835,91873778.76550001,1536959.0,6.0,40.0,72.0,91.5,41.0,139781.0,,,576.0,,,,,,,34035050.0,-32.28351144,-63.4506364545889
2018.0,3,BUENOS AIRES,13.417453310810586,48.817166931715846,,41752.5,,,2047.0,114414.0,,107.0,2263.5,44254.0,12913.5,10082.0,1391.5,2418.5,107.0,8.885745768615465,36230.0,198451.0,3327425.0,984848.5,802908.0,422276.0,869153.5,18422550.17993102,7043550.0,2536706.0,Jul-Sept 2018,16345369.202484174,8543677.577544736,10.82503920829923,38.840268339845494,11174959.4835,91873778.76550001,1536959.0,6.0,40.0,72.0,91.5,41.0,139781.0,,,576.0,,,,,,,34035050.0,-32.28351144,-63.4506364545889
2018.0,2,BUENOS AIRES,13.417453310810586,48.817166931715846,,41752.5,,,2047.0,114414.0,,107.0,2263.5,44254.0,12913.5,10082.0,1391.5,2418.5,107.0,8.885745768615465,36230.0,198451.0,3327425.0,984848.5,802908.0,422276.0,869153.5,18422550.17993102,6930762.0,2502826.0,Abr-Jun 2018,16345369.202484174,8543677.577544736,10.82503920829923,38.840268339845494,11174959.4835,91873778.76550001,1536959.0,6.0,40.0,72.0,91.5,41.0,139781.0,,,576.0,,,,,,,34035050.0,-32.28351144,-63.4506364545889
2018.0,1,BUENOS AIRES,13.417453310810586,48.817166931715846,,41752.5,,,2047.0,114414.0,,107.0,2263.5,44254.0,12913.5,10082.0,1391.5,2418.5,107.0,8.885745768615465,36230.0,198451.0,3327425.0,984848.5,802908.0,422276.0,869153.5,18422550.17993102,6932176.0,2466902.0,Ene-Mar 2018,16345369.202484174,8543677.577544736,10.82503920829923,38.840268339845494,11174959.4835,91873778.76550001,1536959.0,6.0,40.0,72.0,91.5,41.0,139781.0,,,576.0,,,,,,,34035050.0,-32.28351144,-63.4506364545889
2017.0,4,BUENOS AIRES,13.417453310810586,48.817166931715846,,41752.5,,,2047.0,114414.0,,107.0,2263.5,44254.0,12913.5,10082.0,1391.5,2418.5,107.0,8.885745768615465,36230.0,198451.0,3327425.0,984848.5,802908.0,422276.0,869153.5,18422550.17993102,6826025.0,2562320.0,Oct-Dic 2017,16345369.202484174,8543677.577544736,10.82503920829923,38.840268339845494,11174959.4835,91873778.76550001,1536959.0,6.0,40.0,72.0,91.5,41.0,139781.0,,,576.0,,,,,,,34035050.0,-32.28351144,-63.4506364545889
2017.0,3,BUENOS AIRES,13.417453310810586,48.817166931715846,,41752.5,,,2047.0,114414.0,,107.0,2263.5,44254.0,12913.5,10082.0,1391.5,2418.5,107.0,8.885745768615465,36230.0,198451.0,3327425.0,984848.5,802908.0,422276.0,869153.5,18422550.17993102,6767020.0,2592551.0,Jul-Sept 2017,16345369.202484174,8543677.577544736,10.82503920829923,38.840268339845494,11174959.4835,91873778.76550001,1536959.0,6.0,40.0,72.0,91.5,41.0,139781.0,,,576.0,,,,,,,34035050.0,-32.28351144,-63.4506364545889
